, 30
lommy, 2
long, 25
longclaw, 3
loraq, 3
loras, 17
lorass, 1
lorch, 2
lord, 67
lords, 19
lore, 1
losing, 6
lothar, 1
love, 29
low, 2
luwin, 7
lyanna, 18
lyannas, 1
lysa, 11
lysas, 3
mace, 5
maces, 1
mad, 5
madness, 7
maege, 1
maegor, 2
maegors, 1
maegyr, 1
maester, 10
maggy, 1
maggys, 1
magister, 2
mago, 1
maisie, 4
malko, 1
mallister, 1
man, 27
mance, 12
mances, 3
mancesam, 1
manderly, 2
mandon, 4
manyfaced, 2
margaery, 32
margaerys, 1
marillion, 1
marsh, 4
martell, 8
martells, 1
martin, 1
master, 6
masteratarms, 1
masters, 15
mathis, 1
maynard, 1
maz, 1
meera, 9
meereen, 30
meereenese, 2
melaras, 1
melisandre, 29
melisandres, 1
men, 70
merchant, 2
mercy, 8
mero, 1
merryweather, 1
meryn, 11
meryns, 1
mhysa, 3
michele, 2
mighdal, 4
mighdals, 2
militant, 6
mink, 1
mirri, 1
missandei, 30
missandeis, 2
moles, 1
moon, 1
moore, 2
moores, 1
mopatis, 3
moqorro, 1
mord, 1
mordane, 3
morghulis, 3
mormont, 17
mormonts, 1
moro, 4
mossador, 2
mother, 23
mothers, 5
mott, 1
motte, 1
mountain, 6
mounts, 1
mrycella, 1
mud, 1
mully, 2
multiple, 2
my, 8
mya, 1
mycah, 4
myk, 1
myr, 2
myranda, 8
myrandas, 1
myrcella, 12
myrcellas, 1
naharis, 7
nakloz, 1
nan, 1
narrow, 5
ned, 17
neds, 5
nedcersei, 1
nededdard, 1
neddard, 1
needle, 5
nestor, 1
nestoris, 2
new, 35
night, 28
nights, 32
nightfort, 1
nightshade, 1
no, 39
north, 46
norths, 1
northern, 12
northerners, 6
northmen, 2
nothing, 14
nymeria, 6
oathkeeper, 1
oberyn, 12
oberyns, 1
of, 993
old, 27
oldtown, 1
olenna, 16
olennas, 1
olly, 5
olsen, 1
olyvar, 1
on, 116
open, 10
oppo, 1
orell, 5
ornela, 1
orson, 2
osha, 9
oshas, 2
osmund, 1
osney, 2
othell, 3
othor, 1
oxcross, 1
pov, 4
paenymion, 1
pained, 2
painted, 3
pass, 9
payne, 6
penny, 3
pentos, 5
personalized, 1
peter, 2
petyr, 19
petyrs, 4
pie, 5
pink, 1
pit, 10
pod, 5
podrick, 8
polliver, 8
pollivers, 1
poole, 1
poster, 3
pree, 6
priest, 3
priestess, 5
priests, 2
prince, 12
princess, 6
promised, 2
protector, 1
purple, 2
pyat, 6
pyats, 1
pycelle, 14
pycelles, 1
pyke, 1
pyp, 1
pypar, 6
pyramid, 8
qaggaz, 3
qarth, 3
qarthstyle, 1
qhorin, 7
qhorins, 1
queen, 40
queenscrown, 1
queensgate, 1
queensguard, 1
quentyn, 1
qyburn, 10
qyburns, 3
rhllor, 2
rlj, 1
r, 2
rafford, 1
rains, 1
rakharo, 4
rakharos, 1
ramsay, 29
ramsays, 3
rancer, 2
randyll, 6
ranging, 1
rast, 1
rat, 1
raven, 21
rayder, 3
rayders, 1
razdal, 9
razing, 1
reach, 8
realm, 3
rebecca, 1
rebellion, 5
reciting, 2
recommendations, 2
red, 35
reed, 6
reeds, 7
reek, 1
regent, 7
renly, 3
renlys, 3
rhaegal, 15
rhaegals, 1
rhaegar, 17
rhaegars, 3
rhaego, 1
rhoynar, 1
rickon, 14
rickons, 2
rise, 2
ritual, 3
riverlands, 7
riverrun, 3
rivers, 1
robb, 33
robbs, 6
robert, 27
roberts, 8
robett, 4
robin, 4
rock, 8
rodrik, 11
rodriks, 1
roose, 6
rorge, 1
ros, 3
rowan, 1
royce, 10
rugen, 1
sahnsuh, 2
sersee, 2
sack, 5
saltpans, 1
sam, 23
sams, 2
samwell, 3
sansuh, 1
sand, 4
sands, 1
sandors, 3
sansa, 257
sansas, 24
sarsfield, 1
save, 9
savior, 2
sea, 10
season, 15
seasons, 3
seaworth, 3
second, 7
selmy, 3
selyse, 1
sept, 14
septa, 3
septon, 6
septons, 3
ser, 57
seven, 25
several, 4
shadow, 3
shae, 22
shaes, 1
shagga, 2
shaggydog, 4
shame, 1
she, 237
shireen, 3
siege, 5
sight, 4
six, 2
skirling, 1
slavers, 13
slynt, 9
smallfolk, 4
snakes, 1
snow, 17
snows, 4
sohnsuh, 2
someone, 8
son, 26
song, 10
sons, 20
sorcerer, 2
sparrow, 7
sparrows, 2
spice, 2
spider, 1
square, 2
stallion, 1
stannis, 19
stanniss, 1
star, 2
stark, 71
starks, 24
starkarya, 2
starksansa, 1
stokeworth, 1
stone, 7
storm, 8
stormborn, 3
strickland, 1
strong, 4
styr, 5
styrs, 1
summer, 10
summers, 3
summerhall, 1
sunspear, 2
swords, 4
swyft, 1
syrio, 4
teereeun, 1
tv, 6
table, 13
taena, 1
talisa, 2
tall, 2
tamzin, 1
tansy, 1
targaryen, 43
targaryens, 11
targaryenarya, 1
targaryenrhaegar, 4
targaryensansa, 2
tarly, 8
tarlys, 3
tarth, 5
temple, 5
ternesio, 2
terys, 3
that, 251
the, 2178
theon, 22
theons, 1
they, 109
thirteen, 4
thorne, 9
thoros, 3
thoughtful, 1
threeeyed, 15
throne, 24
thrones, 5
tickler, 5
titan, 3
titans, 2
toad, 2
tollett, 3
tommen, 16
tommens, 4
tongue, 1
tormund, 13
tormunds, 1
torrhen, 1
torrhens, 2
tossed, 1
tower, 13
town, 4
traitor, 2
trant, 12
trants, 1
trident, 2
trusting, 1
tully, 3
twins, 4
tycho, 2
tyene, 3
tygett, 1
tyrell, 23
tyrells, 6
tyrion, 335
tyrions, 42
tysha, 3
tywin, 38
tywins, 11
umber, 5
umbers, 1
umma, 1
unburnt, 3
under, 7
underfoot, 2
undying, 1
unella, 4
unimpressed, 1
unknown, 3
unsullied, 30
unworthy, 2
upon, 13
upset, 6
vi, 1
vaes, 1
valar, 4
vale, 16
valyria, 3
valyrian, 10
van, 1
vance, 1
vardis, 2
vargo, 1
varys, 37
varyss, 1
viper, 1
viserion, 7
viserys, 23
viseryss, 1
volantene, 1
volantis, 4
vorkoy, 1
waif, 18
wail, 1
walda, 1
waldas, 1
walder, 6
walders, 2
walker, 6
walkers, 11
wall, 42
war, 15
warden, 4
wardeness, 1
warg, 4
wargs, 1
warlocks, 1
was, 188
watch, 53
watchs, 1
water, 8
waters, 3
waymar, 1
waynwood, 3
wedding, 29
weese, 1
weiss, 1
west, 2
weste, 1
westerlands, 2
westeros, 27
what, 1784
when, 205
where, 165
which, 16
whisperers, 2
white, 32
who, 860
whos, 4
whose, 2
why, 62
widows, 1
wierwood, 1
wight, 12
wildfire, 7
wildling, 5
wildlings, 29
will, 144
willas, 1
willem, 3
willems, 1
williams, 7
williamss, 1
wind, 1
winds, 3
winter, 8
winterfell, 69
winterfells, 5
wisdom, 2
wise, 1
without, 19
wolf, 11
wolkan, 1
woman, 14
world, 19
worm, 16
wun, 2
wylis, 1
wylla, 1
wyman, 2
xaro, 9
xaros, 2
xhoan, 1
yara, 6
yarwyck, 4
yes, 3
yezzan, 7
ygritte, 20
ygrittes, 1
yohn, 4
yoren, 6
you, 13
young, 14
yunkai, 11
yunkais, 2
abandon, 2
abandoned, 2
abbreviation, 1
abilities, 2
ability, 5
able, 10
aboard, 1
abolishing, 1
abomination, 1
abort, 1
abortion, 1
about, 168
above, 7
abruptly, 2
absence, 4
absent, 1
absolute, 1
abuse, 1
accept, 11
acceptance, 3
accepting, 1
accepts, 1
acclaim, 1
acclaims, 1
accommodation, 2
accompanied, 2
accompanies, 2
accompany, 3
accomplish, 1
according, 1
accosted, 3
accountable, 2
accounts, 1
accuse, 5
accuses, 1
achieve, 2
achievements, 1
acknowledge, 1
acolyte, 1
acolytes, 1
acquire, 1
across, 8
act, 6
acting, 3
action, 3
actions, 6
active, 1
actively, 1
activities, 1
actors, 2
actress, 1
actual, 1
actually, 2
adapt, 1
add, 2
address, 2
addresses, 3
adherence, 1
adjourned, 1
administration, 1
admit, 13
admits, 3
admonishes, 1
adopt, 1
adultery, 1
advancing, 1
advantage, 3
adventurous, 2
adversity, 2
advice, 4
advise, 8
advises, 1
advisor, 3
advisors, 1
advocate, 2
advocates, 2
affair, 1
affect, 1
affection, 3
afraid, 5
after, 63
aftermath, 1
again, 23
against, 35
age, 4
ago, 6
agree, 15
agrees, 2
ahead, 3
aid, 5
aide, 1
albino, 1
alcoholic, 1
alerting, 1
alienated, 1
alienation, 1
alive, 9
all, 49
allegedly, 1
allegiance, 4
alliance, 5
alliances, 1
allied, 1
allies, 2
allow, 8
allowed, 5
allowing, 3
allows, 2
allude, 1
ally, 2
almost, 1
alone, 10
alongside, 3
already, 5
alright, 1
also, 2
altering, 1
alternate, 1
always, 7
ambitions, 1
ambitious, 1
ambush, 1
ammunition, 1
amongst, 1
amount, 1
amused, 1
amusement, 1
an, 40
ancestor, 2
ancestors, 1
ancestral, 1
anchored, 1
ancient, 1
and, 788
andor, 1
anew, 1
anger, 2
angering, 1
angers, 1
angrily, 3
angry, 5
animal, 2
animals, 1
announce, 1
announcement, 1
announces, 4
announcing, 1
annoy, 1
annoyed, 1
annul, 4
annulled, 2
annulling, 1
annulment, 2
another, 14
answer, 2946
antagonistic, 1
anticipate, 1
antics, 1
antipathy, 1
anvil, 1
any, 21
anymore, 1
anyone, 11
anything, 8
anyway, 2
anywhere, 2
apart, 2
aphorism, 1
apologetic, 1
apologize, 1
apologizes, 2
apology, 1
apparent, 1
appear, 11
appearance, 1
appears, 3
applause, 2
apply, 1
appoint, 1
appointed, 2
appointment, 1
apprentice, 1
apprenticeship, 1
approach, 3
approached, 2
approaches, 1
approaching, 1
approval, 1
approve, 1
arc, 1
arcane, 1
archers, 2
archery, 2
are, 130
area, 1
arent, 1
argue, 3
argues, 1
arguing, 1
argument, 1
arm, 1
armada, 1
armies, 10
armistice, 1
armor, 6
armored, 1
arms, 3
around, 9
arrange, 2
arrangement, 1
arranging, 1
arrest, 2
arrested, 2
arrival, 7
arrive, 13
arrived, 4
arrives, 5
arrogant, 3
arrow, 6
arrows, 6
artist, 2
as, 179
ascension, 2
ashcovered, 1
ashes, 1
aside, 3
asked, 4
asking, 6
asks, 20
aspired, 1
assassin, 4
assassins, 2
assassination, 3
assembled, 1
assert, 2
assign, 1
assigned, 1
assignment, 1
assist, 2
assume, 2
assumed, 1
assuming, 1
assure, 9
assures, 3
astonishment, 3
astute, 1
atoning, 1
atop, 4
atrocities, 1
attached, 1
attack, 18
attacked, 4
attackers, 1
attacking, 4
attacks, 7
attempt, 7
attempted, 2
attempts, 10
attend, 3
attends, 1
attention, 2
attitude, 3
attitudes, 2
attract, 1
attributed, 1
audience, 1
auditioned, 1
aunt, 5
aunts, 2
authority, 1
autumn, 1
avenge, 1
avenged, 1
avoid, 2
await, 1
awake, 1
awaken, 1
awakening, 1
aware, 1
away, 34
awe, 1
awestruck, 1
awful, 2
awkward, 1
ax, 1
baby, 2
babys, 1
back, 35
backalleys, 1
backfire, 2
backfires, 1
backhanded, 1
backing, 1
badly, 2
balcony, 2
ball, 2
ballista, 1
band, 2
banishes, 1
banishing, 1
banner, 2
bannerman, 1
bannermen, 4
banquet, 1
bantering, 1
barb, 1
barbs, 4
bargaining, 1
barracks, 2
barred, 1
barrel, 1
based, 1
bash, 1
basis, 1
bastard, 17
bastardborn, 1
bath, 1
bathing, 1
battlefield, 1
battlements, 1
battles, 4
be, 119
beach, 1
beard, 1
beasts, 1
beat, 2
beaten, 4
beatings, 1
beats, 2
beautiful, 4
became, 5
because, 13
become, 32
becomes, 2
becoming, 2
bed, 11
bedchamber, 2
bedchambers, 1
bedridden, 1
bedside, 1
been, 17
beer, 1
befriend, 1
beg, 4
began, 2
beggar, 1
begging, 2
begin, 10
begun, 1
behavior, 4
beheaded, 1
behind, 8
beholden, 1
being, 24
beings, 1
belief, 2
believe, 43
believed, 1
believes, 5
believing, 2
bells, 2
belong, 2
belonged, 1
belongs, 3
below, 4
belt, 2
bemused, 1
bend, 7
bending, 1
bends, 2
beneath, 1
benefactors, 1
benefit, 1
benevolent, 1
bent, 2
berate, 1
berries, 1
besieged, 1
besieging, 1
best, 6
betray, 3
betrayal, 1
betrayed, 3
betraying, 1
betrothal, 2
betrothed, 1
better, 9
between, 24
beyond, 11
bicker, 1
bid, 4
bidding, 1
bids, 1
big, 2
billowing, 1
birds, 2
birth, 2
birthright, 1
bitch, 1
bites, 3
blackandwhite, 2
blackmail, 2
blacksmiths, 1
blade, 2
blades, 1
blame, 4
blames, 1
blast, 2
blaze, 1
bleed, 1
blessing, 1
blind, 4
blinded, 1
blindingcontacts, 1
blindness, 2
blisters, 1
block, 2
blocked, 1
blocks, 2
blonde, 1
blondehaired, 1
bloodied, 1
bloodrider, 1
bloodriders, 2
blooper, 1
blow, 4
blows, 3
bluff, 1
blurt, 1
blurts, 1
boar, 2
board, 3
boat, 2
bodies, 3
body, 20
bodyguard, 1
bolt, 2
bolts, 1
bondage, 1
bone, 1
book, 7
books, 11
booked, 1
bookshelves, 1
boon, 1
bored, 1
boring, 2
born, 6
borrow, 1
boss, 1
